(2, 21)
(2, 25)
(4, 23)
(3, 19)
(2, 16)
(5, 27)
(9, 27)
(6, 25)
(8, 25)
(11, 25)
(12, 27)
(5, 3)
(3, 2)
(7, 2)
(5, 7)
(3, 5)
(7, 5)
(3, 9)
(7, 10)
(5, 11)
(13, 2)
(16, 2)
(15, 3)
(7, 23)
(6, 21)
(10, 23)
(9, 21)
(12, 21)
(13, 25)
(14, 23)
(2, 3)
(2, 7)
(2, 10)
(7, 19)
(5, 17)
(9, 13)
(7, 12)
(9, 8)
(10, 9)
(10, 12)
(9, 16)
(10, 15)
(7, 15)
(10, 19)
(10, 2)
(12, 3)
(12, 16)
(12, 13)
(13, 15)
(13, 19)
(20, 2)
(17, 3)
(19, 3)
(15, 25)
(16, 27)
(25, 27)
(24, 25)
(22, 27)
(28, 25)
(2, 13)
(3, 12)
(3, 15)
(5, 14)
(9, 3)
(10, 5)
(13, 5)
(12, 7)
(23, 2)
(21, 3)
(16, 7)
(18, 5)
(18, 19)
(16, 21)
(16, 17)
(23, 19)
(19, 21)
(22, 21)
(20, 17)
(26, 19)
(25, 21)
(24, 17)
(28, 21)
(28, 17)
(17, 23)
(26, 23)
(23, 23)
(19, 27)
(18, 25)
(21, 25)
(12, 10)
(13, 9)
(13, 12)
(26, 2)
(24, 3)
(28, 3)
(16, 11)
(18, 9)
(20, 23)
(16, 14)
(18, 13)
(18, 16)
(20, 7)
(22, 5)
(20, 11)
(22, 9)
(20, 14)
(22, 13)
(22, 16)
(25, 5)
(27, 7)
(24, 6)
(24, 11)
(25, 9)
(24, 14)
(25, 12)
(25, 16)
(27, 13)
(27, 10)
